Year,Title,Название,Genre,Director,Actors,Mark,Comment
1954,Shichinin no samurai,Семь самураев,,Акира Куросава,,6,"Олдскул, типа классика и всё такое."
1961,Человек идёт за солнцем,Человек идёт за солнцем,,,,S,Великолепно.
1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Доктор Стрэнджлав или как я перестал беспокоиться и полюбил атомную бомбу,,,,,
1972,The harder they come,Тернистый путь,,,,5,Биопик про реггей артиста (хасла) с Ямайки прямо.
1973,American graffiti,Американское графити,,,,S,
1976,Taxi driver,Таксист,,,,,
1979,More american graffiti,Американское графити 2,,,,S,
1979,Apocalypse Now,Апокалипсис сегодня,,Francis Ford Coppola,,9,"Великолепно. Возможно слегка перегузили с философствованием, но снято просто шикарно. Плюс мне в целом нравится психологическое дерьмо, поэтому только 10 из 10!"
1981,Christiane F. - Wir Kinder vom Bahnhof Zoo,Дети со станции Зоо,,,,9,"Великолепный фильм, всё строго по делу, ни одной лишней сцены. На игле отдыхает."
1982,Blade Runner,Бегущий по лезвию,,Ridley Scott,,8,"Отличный киберпанк, великолепный саундтрек и съёмки."
1984,Любовь и голуби,Любовь и голуби,,,,8,Классика.
1984,Repo man,Конфискаторы,,,,S,
1986,Pretty in pink,Девушка в розовом,,,,S,
1986,They Were Eleven!,Их было одиннадцать,,,,7,Анимэха. Достойно.
1987,Less Than Zero,Меньше нуля,,,,,
1987,Full Metal Jacket,Цельнометаллическая оболочка,,Stanley Kubrick,,7,Очень хороший стафф.
1988,アキラ,Акира,,Katsuhiro Otomo,,10,"Культовое аниме. Великое. В 1988 году, когда я родился, Кацухиро Отомо выпустил аниме, которое до сих пор никто не переплюнул по многим критериям: это подробно нарисованный фильм, где каждый кадр можно распечатать и повесить на стенку. В «Акире» невероятная прорисовка всего, до сих пор не понимаю, как они это сделали, наверное, у Отомо в рабстве был целый цех художников. И сюжет там такой, что ты два часа пялишься в экран, не в силах предугадать, что же случится дальше. Если вы терпеть не можете аниме, но хотите понять, почему многие его так любят, то «Акиру» надо смотреть в самую первую очередь."
1990,Goodfellas,Славные парни,,Martin Scorsese,,6,"Неплохо, фильм Скорсезе мафия и все дела"
1991,The doors,Дорз,,,,5,биопик дорз. Так себе.
1991,Облако рай,Облако рай,,,,7,"91 год один из последних советских фильмов. Слайс, конец ссср, жёсткий анутраж. Смотреть аккуратно."
1991,The Silence of the Lambs,Молчание ягнят,,,,7,"Хорошо, люблю триллеры, плюс актеры."
1992,Singles,Одиночки,,,,S,
1997,Mononoke-hime,Принцесса Мононокэ,,Hayao Miyazaki,,10,Шедевр.
1999,"Girl, Interrupted",Прерванная жизнь,,,,,
1999,American pie,Американский пирог 1,,,,S,"Армянский пирог, блять =) Хачапури, ёбты."
2000,Memento,Помни,,,,,
2003,The Animatrix,Анимтрица,"Animation, Action, Sci-Fi",Takeshi Koike,,8,Естественно культовая вещь.
